Selected Nomen,Native Nomen,Reporter,Reporter Name,Product,Product Name,Partner,Partner Name,Tariff Year,Trade Year,Trade Source,DutyType,Simple Average,Weighted Average,Standard Deviation,Minimum Rate,Maximum Rate,Nbr of Total Lines,Nbr of DomesticPeaks,Nbr of InternationalPeaks,Imports Value in 1000 USD,Binding Coverage
HS,H0,28,Antigua and Barbuda,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1999,,AHS,25.29,,10.96,0,40,64,4,51,,
HS,H0,48,Bahrain,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1999,1999,WTO,AHS,5,5,0,5,5,18,0,0,1228.836,
HS,H0,48,Bahrain,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2000,2000,WTO,AHS,5,5,0,5,5,35,0,0,1956.184,
HS,H0,52,Barbados,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1997,,AHS,11.31,,11.7,0,30,50,0,19,,
HS,H0,52,Barbados,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1999,1999,WTO,AHS,12.08,18.2,11.52,0,40,49,2,19,3533.105,
HS,H0,84,Belize,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,,AHS,31.56,,13.51,5,40,25,13,20,,
HS,H0,144,Sri Lanka,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1997,1997,WTO,AHS,35,35,0,35,35,17,0,17,280.917,
HS,H0,188,Costa Rica,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,WTO,AHS,25.58,19.29,15.87,1,53,52,11,43,1853.407,
HS,H0,222,El Salvador,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,WTO,AHS,20,20,0,20,20,16,0,16,129.355,
HS,H0,262,Djibouti,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1998,2009,,AHS,20,,0,20,20,1,0,1,,
HS,H0,262,Djibouti,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1999,2009,,AHS,20,,0,20,20,1,0,1,,
HS,H0,262,Djibouti,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2002,2009,,AHS,20,,0,20,20,1,0,1,,
HS,H0,262,Djibouti,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2005,2009,,AHS,20,,0,20,20,1,0,1,,
HS,H0,262,Djibouti,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2006,2009,,AHS,20,,0,20,20,1,0,1,,
HS,H0,266,Gabon,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1998,1998,,AHS,20,,0,20,20,4,0,4,,
HS,H0,270,"Gambia, The",2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2003,2004,,AHS,18,,0,18,18,9,0,9,,
HS,H0,270,"Gambia, The",2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2007,2007,,AHS,20,,0,20,20,4,0,4,,
HS,H0,270,"Gambia, The",2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2008,2008,,AHS,20,,0,20,20,8,0,7,,
HS,H0,270,"Gambia, The",2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2009,2009,,AHS,20,,0,20,20,8,0,7,,
HS,H0,308,Grenada,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,,AHS,25.23,,11.9,0,35,44,0,33,,
HS,H0,324,Guinea,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1998,1998,,AHS,7,,0,7,7,13,0,0,,
HS,H0,328,Guyana,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1997,,AHS,24.82,,11.8,5,40,32,4,24,,
HS,H0,360,Indonesia,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,WTO,AHS,30,30,0,30,30,31,0,31,7303.167,
HS,H0,360,Indonesia,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1997,1997,WTO,AHS,30,30,0,30,30,38,0,38,4632.816,
HS,H0,388,Jamaica,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,,AHS,27.68,,15.45,0,40,40,24,30,,
HS,H0,414,Kuwait,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2002,2002,,AHS,0,,0,0,0,15,0,0,,
HS,H0,454,Malawi,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1997,1999,,AHS,20,,0,20,20,1,0,1,,
HS,H0,454,Malawi,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1998,1999,,AHS,10,,0,10,10,1,0,0,,
HS,H0,496,Mongolia,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,WTO,AHS,15,15,0,15,15,2,0,0,0.46,
HS,H0,558,Nicaragua,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,,AHS,29.58,,63.54,5,200,14,2,13,,
HS,H0,586,Pakistan,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,2003,,AHS,65,,0,65,65,1,0,1,,
HS,H0,586,Pakistan,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1998,2003,,AHS,65,,0,65,65,1,0,1,,
HS,H0,591,Panama,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1997,1997,WTO,AHS,33.22,31.43,12.6,10,50,55,42,48,3083.094,
HS,H0,604,Peru,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1997,1997,WTO,AHS,19.08,14.88,2.33,12,20,32,0,29,8122.097,
HS,H0,659,St. Kitts and Nevis,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,,AHS,6.89,,7.92,0,25,55,0,10,,
HS,H0,662,St. Lucia,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,,AHS,6.61,,12.65,0,40,48,3,13,,
HS,H0,670,St. Vincent and the Grenadines,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,WTO,AHS,7.95,3.39,9.03,0,40,54,1,11,4866.015,
HS,H0,710,South Africa,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,WTO,AHS,12.58,9.2,16.3,0,40,17,0,5,19431.214,
HS,H0,740,Suriname,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,,AHS,17.72,,6.32,5,25,31,0,23,,
HS,H0,768,Togo,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,WTO,AHS,20,20,0,20,20,2,0,2,40.513,
HS,H0,780,Trinidad and Tobago,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,WTO,AHS,22.41,29.64,15.95,5,40,31,11,16,5365.06,
HS,H0,818,"Egypt, Arab Rep.",2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1998,1998,WTO,AHS,15,9.16,15.81,5,40,7,0,2,40268.059,
HS,H1,8,Albania,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2000,2000,WTO,AHS,11.98,11.12,4.12,10,20,23,0,5,2536.539,
HS,H1,8,Albania,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2001,2001,WTO,AHS,10.06,10,0.77,10,15,41,0,0,4789.695,
HS,H1,8,Albania,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2002,2002,WTO,AHS,10,10,0,10,10,41,0,0,7106.478,
HS,H1,24,Angola,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2002,2007,,AHS,10,,0,10,10,31,0,0,,
HS,H1,24,Angola,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2004,2007,,AHS,10,,0,10,10,32,0,0,,
HS,H1,28,Antigua and Barbuda,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2000,2000,WTO,AHS,25.39,21.49,11.07,0,40,69,4,55,8616.1,
HS,H1,28,Antigua and Barbuda,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2001,2001,WTO,AHS,17.47,12.46,13.49,0,40,63,3,38,10123.547,
HS,H1,28,Antigua and Barbuda,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2002,2000,,AHS,17.42,,13.58,0,40,70,4,41,,
HS,H1,28,Antigua and Barbuda,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2003,2005,,AHS,18.46,,13.55,0,40,68,4,42,,
HS,H1,28,Antigua and Barbuda,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2004,2005,,AHS,18.46,,13.55,0,40,68,4,42,,
HS,H1,28,Antigua and Barbuda,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2005,2005,WTO,AHS,18.22,12.58,13.59,0,40,67,4,41,10010.74,
HS,H1,28,Antigua and Barbuda,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2006,2006,WTO,AHS,17.47,12.9,13.49,0,40,63,3,38,10377.058,
HS,H1,28,Antigua and Barbuda,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2007,2007,WTO,AHS,17.19,12.11,13.48,0,40,64,3,38,14516.628,
HS,H1,28,Antigua and Barbuda,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2008,2009,,AHS,17.25,,13.58,0,40,65,4,38,,
HS,H1,28,Antigua and Barbuda,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2009,2009,WTO,AHS,17.25,12.3,13.58,0,40,65,4,38,12230.766,
HS,H1,32,Argentina,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,WTO,AHS,10,10,0,10,10,8,0,0,3477.325,
HS,H1,32,Argentina,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1997,1997,WTO,AHS,10.22,10.02,0.6,10,12,10,0,0,4519.713,
HS,H1,32,Argentina,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1998,1998,WTO,AHS,13,13,0,13,13,13,0,0,7606.72,
HS,H1,32,Argentina,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1999,1999,WTO,AHS,13.25,13.03,0.63,13,15,9,0,0,4478.524,
HS,H1,32,Argentina,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2000,2000,WTO,AHS,15,13.02,4.2,13,27,10,0,1,4512.678,
HS,H1,32,Argentina,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,2001,2001,WTO,AHS,12.5,12.5,0,12.5,12.5,11,0,0,3794.456,
HS,H1,36,Australia,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1996,1996,WTO,AHS,0,0,0,0,0,6,0,0,747.556,
HS,H1,36,Australia,2,MEAT AND EDIBLE MEAT OFFAL,840,United States,1997,1997,WTO,AHS,0,0,0,0,0,8,0,0,1185.57,
