PARTNER,distance,English_Primary,WTO_membership,TotalScore_partners,KR_US,US_AU,US_BA,US_CH,US_CO,US_IS,US_JO,US_MO,US_OM,US_PA,US_PE,US_SI,CAFTA_DR,USMCA,,,,,,
Afghanistan,10847.88,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Variables ,Distance
Albania,7439.631,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Common language
Algeria,6471.879,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,WTO membership
Andorra,6064.699,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,GE index 
Angola,10427.39,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Trade agreemets 
Anguilla,2717.069,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Argentina,8542.694,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Armenia,9088.867,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Aruba,3161.668,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Australia,16008.79,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Austria,6798.701,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Azerbaijan,9371.842,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Bahamas,1770.893,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Bahrain,10643.58,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Bangladesh,12680.43,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Barbados,3381.507,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Belarus,7125.836,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Belgium,5891.711,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Belize,2979.495,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Benin,8416.831,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Bermuda,1248.121,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Bolivia,6400.357,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Botswana,12583.97,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Brazil,7694.307,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
British Virgin Islands,2638.875,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Bulgaria,7588.903,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Burkina Faso,7640.939,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Burundi,11382.61,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Cabo Verde,5640.555,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Cambodia,14208.13,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Cameroon,9359.483,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Canada,548.3946,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Cayman Islands,2488.701,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Chad,9052.158,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Chile,8271.045,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
